,hour,longitude,latitude,value,h3_8,h3_,h3_10,h3_11,h3_12,h3_9,passengername,phone
0,0,116.4378,39.9916,22,8831aa540dfffff,,8a31aa540527fff,8b31aa540526fff,8c31aa540526bff,8931aa54053ffff,Passenger_0,13800000000
1,0,116.4397,39.9408,742,8831aa558dfffff,,8a31aa558c9ffff,8b31aa558c98fff,8c31aa558c98bff,8931aa558cbffff,Passenger_1,13800000001
2,0,116.4201,40.0963,8,8831aacce1fffff,,8a31aacce02ffff,8b31aacce028fff,8c31aacce028bff,8931aacce03ffff,Passenger_2,13800000002
3,0,116.418,40.0287,12,8831aa562dfffff,,8a31aa562d97fff,8b31aa562d93fff,8c31aa562d931ff,8931aa562dbffff,Passenger_3,13800000003
4,0,116.548,39.9628,5,8831aa090dfffff,,8a31aa090d77fff,8b31aa090d71fff,8c31aa090d71dff,8931aa090d7ffff,Passenger_4,13800000004
5,0,116.4442,39.8259,5,8831aa452bfffff,,8a31aa452b9ffff,8b31aa452b9bfff,8c31aa452b9bbff,8931aa452bbffff,Passenger_5,13800000005
6,0,116.4368,39.8518,10,8831aa4545fffff,,8a31aa454437fff,8b31aa454436fff,8c31aa4544367ff,8931aa4545bffff,Passenger_6,13800000006
7,0,116.4556,39.9288,169,8831aa55b9fffff,,8a31aa55b89ffff,8b31aa55b89dfff,8c31aa55b89d9ff,8931aa55b8bffff,Passenger_7,13800000007
8,0,116.2504,40.0407,4,8831aa5265fffff,,8a31aa526597fff,8b31aa526591fff,8c31aa5265919ff,8931aa5265bffff,Passenger_8,13800000008
9,0,116.671,39.918,20,8831aa7203fffff,,8a31aa7202e7fff,8b31aa7202e3fff,8c31aa7202e3bff,8931aa7202fffff,Passenger_9,13800000009
10,0,116.6133,39.8022,4,8831aa7ac3fffff,,8a31aa7ac31ffff,8b31aa7ac31bfff,8c31aa7ac31bdff,8931aa7ac33ffff,Passenger_10,13800000010
11,0,116.31,40.0239,6,8831aa52e5fffff,,8a31aa52e477fff,8b31aa52e476fff,8c31aa52e476dff,8931aa52e43ffff,Passenger_11,13800000011
12,0,116.4696,40.0287,6,8831aa56edfffff,,8a31aa56ec57fff,8b31aa56ec54fff,8c31aa56ec545ff,8931aa56ec7ffff,Passenger_12,13800000012
13,0,116.3389,39.9778,22,8831aa5081fffff,,8a31aa5081affff,8b31aa5081acfff,8c31aa5081ac7ff,8931aa5081bffff,Passenger_13,13800000013
14,0,116.7074,39.8611,6,8831aa70c7fffff,,8a31aa70c687fff,8b31aa70c684fff,8c31aa70c6841ff,8931aa70c6bffff,Passenger_14,13800000014
15,0,116.4293,40.0408,20,8831aa5663fffff,,8a31aa56621ffff,8b31aa566218fff,8c31aa566218bff,8931aa56623ffff,Passenger_15,13800000015
16,0,116.5629,39.9696,5,8831aa0955fffff,,8a31aa09540ffff,8b31aa09540dfff,8c31aa09540d1ff,8931aa09543ffff,Passenger_16,13800000016
17,0,116.3918,39.8944,4,8831aa42abfffff,,8a31aa42aae7fff,8b31aa42aae0fff,8c31aa42aae05ff,8931aa42aafffff,Passenger_17,13800000017
18,0,116.2979,40.1054,4,8831aac8d7fffff,,8a31aac8d6e7fff,8b31aac8d6e0fff,8c31aac8d6e0bff,8931aac8d6fffff,Passenger_18,13800000018
19,0,116.3008,39.9139,8,8831aa435dfffff,,8a31aa435d47fff,8b31aa435d46fff,8c31aa435d40dff,8931aa435d7ffff,Passenger_19,13800000019
20,0,116.8484,40.3788,21,8831aabb41fffff,,8a31aabb40e7fff,8b31aabb40e5fff,8c31aabb40e59ff,8931aabb40fffff,Passenger_20,13800000020
21,0,116.3762,39.9838,72,8831aa5727fffff,,8a31aa572687fff,8b31aa572686fff,8c31aa5726861ff,8931aa5726bffff,Passenger_21,13800000021
22,0,116.418,39.9752,9,8831aa5553fffff,,8a31aa555357fff,8b31aa555352fff,8c31aa5553529ff,8931aa55537ffff,Passenger_22,13800000022
23,0,116.6899,39.8795,25,8831aa7019fffff,,8a31aa701867fff,8b31aa701865fff,8c31aa7018659ff,8931aa70187ffff,Passenger_23,13800000023
24,0,116.5509,39.7643,4,8831aa7845fffff,,8a31aa78445ffff,8b31aa78445efff,8c31aa78445edff,8931aa78447ffff,Passenger_24,13800000024
25,0,116.4234,40.0708,16,8831aacca7fffff,,8a31aacca797fff,8b31aacca794fff,8c31aacca7943ff,8931aacca7bffff,Passenger_25,13800000025
26,0,116.4542,39.9395,625,8831aa5583fffff,,8a31aa5583affff,8b31aa5583aafff,8c31aa5583aadff,8931aa5583bffff,Passenger_26,13800000026
27,0,116.2026,39.9309,4,8831aa5a1dfffff,,8a31aa5a1c67fff,8b31aa5a1d4bfff,8c31aa5a1d4b7ff,8931aa5a1d7ffff,Passenger_27,13800000027
