,hour,longitude,latitude,value,h3_8,h3_9,h3_10,h3_11,h3_12,h3_,passengername,phone
0,0,121.3892,31.2075,250,8830995963fffff,8930995962bffff,8a3099596287fff,8b3099596285fff,8c3099596285bff,8031fffffffffff,,13800010000
1,0,119.6052,39.9641,200,88303052c3fffff,89303052c37ffff,8a303052c35ffff,8b303052c359fff,8c303052c359dff,8031fffffffffff,,13800010001
2,0,120.2006,35.961,198,8830a12e61fffff,8930a12e607ffff,8a30a12e6047fff,8b30a12e6040fff,8c30a12e60409ff,8031fffffffffff,,13800010002
3,0,123.4602,41.8165,182,883025d5ebfffff,893025d5eb3ffff,8a3025d5eb27fff,8b3025d5eb23fff,8c3025d5eb23bff,8031fffffffffff,,13800010003
4,0,121.4872,31.1925,164,8830994b5dfffff,8930994b5d7ffff,8a30994b5d57fff,8b30994b5d51fff,8c30994b5d515ff,8031fffffffffff,,13800010004
5,0,121.5606,31.2614,163,8830994109fffff,8930994108bffff,8a309941088ffff,8b309941088cfff,8c309941088c1ff,8031fffffffffff,,13800010005
6,0,117.7185,39.0327,143,88318d58cdfffff,89318d58cc7ffff,8a318d58cc47fff,8b318d58cc40fff,8c318d58cc40dff,8031fffffffffff,,13800010006
7,0,106.2832,38.4813,139,8824c04c25fffff,8924c04c24bffff,8a24c04c248ffff,8b24c04c248afff,8c24c04c248a7ff,8025fffffffffff,,13800010007
8,0,116.467,39.921,135,8831aa55b3fffff,8931aa55b2fffff,8a31aa55b257fff,8b31aa55b252fff,8c31aa55b252dff,8031fffffffffff,,13800010008
9,0,121.5601,38.879,133,883006293bfffff,893006293a3ffff,8a3006293a2ffff,8b3006293a2afff,8c3006293a2a3ff,8031fffffffffff,,13800010009
10,0,114.4049,30.5073,122,8840a69027fffff,8940a690277ffff,8a40a6902747fff,8b40a6902746fff,8c40a6902746bff,8041fffffffffff,,13800010010
11,0,108.9607,34.2635,115,88408859ebfffff,89408859ebbffff,8a408859eb87fff,8b408859eb86fff,8c408859eb86bff,8041fffffffffff,,13800010011
12,0,116.4665,39.9165,114,8831aa4759fffff,8931aa47597ffff,8a31aa475957fff,8b31aa475950fff,8c31aa475950dff,8031fffffffffff,,13800010012
13,0,121.5417,29.8643,112,884b343563fffff,894b3435633ffff,8a4b3435630ffff,8b4b34356308fff,8c4b34356308bff,804bfffffffffff,,13800010013
14,0,120.6503,28.0085,111,8841b2ccc5fffff,8941b2ccc43ffff,8a41b2ccc417fff,8b41b2ccc411fff,8c41b2ccc411dff,804bfffffffffff,,13800010014
15,0,113.0256,28.1967,108,8841890005fffff,89418900043ffff,8a4189000427fff,8b4189000421fff,8c41890004219ff,8041fffffffffff,,13800010015
16,0,116.4752,39.9212,104,8831aa4665fffff,8931aa46657ffff,8a31aa46655ffff,8b31aa46655dfff,8c31aa46655ddff,8031fffffffffff,,13800010016
17,0,116.4712,39.9392,104,8831aa5591fffff,8931aa5590bffff,8a31aa5590affff,8b31aa5590abfff,8c31aa5590ab3ff,8031fffffffffff,,13800010017
18,0,116.4573,39.9702,103,8831aa5437fffff,8931aa54377ffff,8a31aa54375ffff,8b31aa54375cfff,8c31aa54375cdff,8031fffffffffff,,13800010018
19,0,122.9907,41.1258,103,883020a941fffff,893020a9413ffff,8a3020a94107fff,8b3020a94102fff,8c3020a941021ff,8031fffffffffff,,13800010019
20,0,116.459,39.9582,103,8831aa55d1fffff,8931aa55d1bffff,8a31aa55d197fff,8b31aa55d194fff,8c31aa55d1941ff,8031fffffffffff,,13800010020
21,0,116.3845,39.9947,100,8831aa572bfffff,8931aa57233ffff,8a31aa572327fff,8b31aa572326fff,8c31aa572326bff,8031fffffffffff,,13800010021
22,0,118.5399,37.4721,100,88318b2b67fffff,89318b2b2d3ffff,8a318b2b669ffff,8b318b2b669bfff,8c318b2b669b1ff,8031fffffffffff,,13800010022
23,0,116.3804,39.9815,100,8831aa554dfffff,8931aa554d7ffff,8a31aa554d77fff,8b31aa554d71fff,8c31aa554d73bff,8031fffffffffff,,13800010023
24,0,116.4339,39.9406,97,8831aa55e3fffff,8931aa55e23ffff,8a31aa55e227fff,8b31aa55e224fff,8c31aa55e2247ff,8031fffffffffff,,13800010024
25,0,113.3102,23.1512,96,884118b05bfffff,894118b05a3ffff,8a4118b05a0ffff,8b4118b05a0dfff,8c4118b05a0dbff,8041fffffffffff,,13800010025
26,0,114.2548,30.5709,96,8840a682abfffff,8940a68284fffff,8a40a68284dffff,8b40a68284d9fff,8c40a68284d91ff,8041fffffffffff,,13800010026
27,0,116.3596,39.9942,96,8831aa50d1fffff,8931aa50d07ffff,8a31aa50d06ffff,8b31aa50d06afff,8c31aa50d06a9ff,8031fffffffffff,,13800010027
28,0,116.473,39.9016,95,8831aa4753fffff,8931aa4752bffff,8a31aa47528ffff,8b31aa47528bfff,8c31aa47528b3ff,8031fffffffffff,,13800010028
29,0,116.4771,39.9255,95,8831aa4661fffff,8931aa4661bffff,8a31aa4661a7fff,8b31aa4661a0fff,8c31aa4661a55ff,8031fffffffffff,,13800010029
30,0,116.3676,39.9745,94,8831aa5093fffff,8931aa5093bffff,8a31aa5093b7fff,8b31aa5093b0fff,8c31aa5093b03ff,8031fffffffffff,,13800010030
31,0,116.444,39.9199,94,8831aa55a3fffff,8931aa55a2fffff,8a31aa55a2c7fff,8b31aa55a2c5fff,8c31aa55a2c57ff,8031fffffffffff,,13800010031
32,0,116.4359,39.9484,93,8831aa55ebfffff,8931aa55eb7ffff,8a31aa55eb5ffff,8b31aa55eb5cfff,8c31aa55eb5c3ff,8031fffffffffff,,13800010032
33,0,116.4653,39.9399,93,8831aa5595fffff,8931aa559cfffff,8a31aa559cdffff,8b31aa559cdafff,8c31aa5595749ff,8031fffffffffff,,13800010033
34,0,116.4674,39.8959,92,8831aa471dfffff,8931aa471d7ffff,8a31aa471d77fff,8b31aa471d74fff,8c31aa471d74dff,8031fffffffffff,,13800010034
35,0,116.4452,39.9328,91,8831aa5587fffff,8931aa55ab7ffff,8a31aa55ab6ffff,8b31aa55ab6cfff,8c31aa55ab6c7ff,8031fffffffffff,,13800010035
36,0,116.3891,39.9515,90,8831aa5505fffff,8931aa5504fffff,8a31aa5504c7fff,8b31aa5504c3fff,8c31aa5504c35ff,8031fffffffffff,,13800010036
37,0,116.3178,39.8944,89,8831aa4311fffff,8931aa43117ffff,8a31aa431147fff,8b31aa43116afff,8c31aa43116a5ff,8031fffffffffff,,13800010037
38,0,116.4236,39.9573,88,8831aa5513fffff,8931aa5513bffff,8a31aa5513affff,8b31aa5513a8fff,8c31aa5513a8bff,8031fffffffffff,,13800010038
39,0,116.4735,39.9642,86,8831aa55dbfffff,8931aa55da7ffff,8a31aa55da67fff,8b31aa55da66fff,8c31aa55da665ff,8031fffffffffff,,13800010039
40,0,116.3672,39.945,85,8831aa425bfffff,8931aa425afffff,8a31aa425ac7fff,8b31aa425ac1fff,8c31aa425ac19ff,8031fffffffffff,,13800010040
41,0,130.2784,47.3332,85,88149caeabfffff,89149caeabbffff,8a149caeaaa7fff,8b149caeaaa4fff,8c149caeaaa4dff,8015fffffffffff,,13800010041
42,0,116.3236,39.8838,84,8831aa4069fffff,8931aa40697ffff,8a31aa40690ffff,8b31aa406909fff,8c31aa4069097ff,8031fffffffffff,,13800010042
43,0,116.4773,39.9525,84,8831aa54a5fffff,8931aa54a4bffff,8a31aa54a4a7fff,8b31aa54a4a5fff,8c31aa54a4a5bff,8031fffffffffff,,13800010043
44,0,116.3212,39.9515,83,8831aa519bfffff,8931aa50a4fffff,8a31aa50a4dffff,8b31aa50a4d9fff,8c31aa50a4d95ff,8031fffffffffff,,13800010044
45,0,116.3672,39.953,83,8831aa5565fffff,8931aa5564fffff,8a31aa5564effff,8b31aa5564e8fff,8c31aa5564e8dff,8031fffffffffff,,13800010045
46,0,116.4348,39.9364,82,8831aa55e3fffff,8931aa55e2fffff,8a31aa55e2d7fff,8b31aa55e2d1fff,8c31aa55e2d19ff,8031fffffffffff,,13800010046
47,0,116.4327,39.9759,81,8831aa5421fffff,8931aa54203ffff,8a31aa542007fff,8b31aa542001fff,8c31aa542001dff,8031fffffffffff,,13800010047
48,0,116.3718,40.0064,81,8831aa5767fffff,8931aa57677ffff,8a31aa576777fff,8b31aa576762fff,8c31aa5767625ff,8031fffffffffff,,13800010048
49,0,116.4699,39.8835,80,8831aa4715fffff,8931aa4714fffff,8a31aa4717b7fff,8b31aa4717b6fff,8c31aa4717b69ff,8031fffffffffff,,13800010049
50,0,113.2474,23.1337,79,884118b745fffff,894118b7443ffff,8a4118b74437fff,8b4118b74435fff,8c4118b744351ff,8041fffffffffff,,13800010050
51,0,114.9656,25.8317,79,8841a82a5dfffff,8941a82a5d7ffff,8a41a82a5d6ffff,8b41a82a5d6efff,8c41a82a5d6ebff,8041fffffffffff,,13800010051
52,0,116.4358,39.9417,79,8831aa55e3fffff,8931aa55e37ffff,8a31aa55e347fff,8b31aa55e346fff,8c31aa55e3463ff,8031fffffffffff,,13800010052
53,0,116.4414,39.9081,79,8831aa4741fffff,8931aa4741bffff,8a31aa4741affff,8b31aa4741abfff,8c31aa4741abbff,8031fffffffffff,,13800010053
54,0,116.6293,40.0588,79,8831aa0a53fffff,8931aa0a537ffff,8a31aa0a534ffff,8b31aa0a534dfff,8c31aa0a534d3ff,8031fffffffffff,,13800010054
55,0,116.3199,39.9038,78,8831aa4225fffff,8931aa4225bffff,8a31aa42258ffff,8b31aa42258cfff,8c31aa42258c7ff,8031fffffffffff,,13800010055
